source,target,label
nuclear reactor operator,wine director,URT
associate administrator,manager communication,URT
associate administrator,tetching,URT
preschool teacher,unit director,URT
purchasing consultant,technology officer,URT
purchasing consultant,server manager,URT
purchasing consultant,content designer,URT
contract director,high school intern,URT
storage architect,business director process,URT
account services manager,broadcast intern,URT
wildlife biologist,software development coordinator,URT
childcare director,business corporate development,URT
sailor,chief executive,URT
recreational therapy assistant,marketing co-op,URT
recreational therapy assistant,assistant revenue manager,URT
human resources payroll consultant,client servicing,URT
staff manufacturing engineer,directress,URT
control microbiologist quality,mba director,URT
control microbiologist quality,placement director,URT
correctional lvn,pricing associate,URT
developer on rail ruby,distinguished professor,URT
environmental,solutions developer,URT
banquete,recruitment assistant,URT
"manager, credit operations",aethtetician,URT
"manager, credit operations",new business development manager,URT
"manager, credit operations",womens healthcare np,URT
loan mortgage specialist,senior traffic engineer,URT
affairs coordinator regulatory,data warehouse,URT
supervisiore,qa compliance specialist,URT
supervisiore,manager senior system,URT
supervisiore,engineering manager solutions,URT
asvertiser,media new producer,URT
travelure,group sales marketing director,URT
manageng drictor,site general manager,URT
manageng drictor,academic dean,URT
technology architecture manager,administrator,URT
information supervisor system,support technical technician,URT
neonatology nurse practitioner,academic director,URT
neonatology nurse practitioner,senior infrastructure consultant,URT
"manager, technical business",supervixsor,URT
"manager, technical business",proffesinal,URT
director application engineering,network services specialist,URT
head client management,lead character artist,URT
secrettary,corporate training manager,URT
secrettary,scafolder,URT
"manager, data operations",job placement specialist,URT
physicsin,control coordinator production,URT
senior examiner,plant supervisor,URT
kiteboarding instructor,architect network solutions,URT
police constable,coast manager,URT
nurse coordinator,customer caer,URT
lead game designer,"vice president, global operations",URT
lead game designer,director service center,URT
company driver,multimedia manager,URT
company driver,creative services manager,URT
business process lead,health safety environment consultant,URT
business process lead,senior client relationship manager,URT
sap principal consultant,senior member of technical staff,URT
customer care engineer,counductor,URT
database programmer,contract manager procurement,URT
copy supervisor,per diem nurse aide,URT
copy supervisor,cealning,URT
etl specialist,eh&s director,URT
etl specialist,network management specialist,URT
